Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20200604,-0.34,0.51,2.89,0.99,0.63,0
20200605,2.5,1.08,2.76,0.72,0.04,0
20200608,1.39,0.68,2.09,-0.47,0.56,0
20200609,-0.85,-0.79,-1.93,-0.04,-0.46,0
20200610,-0.56,-1.8,-4.1,-0.32,-0.5,0
20200611,-5.91,-1.47,-3.04,-0.21,-0.22,0
20200612,1.29,0.8,1.83,0.15,0.09,0
20200615,1.09,1.44,-0.39,-0.77,-0.23,0
20200616,1.87,0.61,0.49,0.64,0.12,0
20200617,-0.4,-1.32,-1.98,-0.55,-0.23,0
20200618,0.19,0.01,-0.53,-0.4,-0.26,0
20200619,-0.45,-0.13,-0.65,-0.73,-0.19,0
20200622,0.71,0.47,-1.36,-0.38,-0.51,0
20200623,0.42,0.22,-0.6,0.58,-0.09,0
20200624,-2.61,-0.7,-1.36,-0.08,0.27,0
20200625,1.12,0.34,0.51,-0.81,0.15,0
20200626,-2.44,-0.2,-1.4,0,0.63,0
20200629,1.51,1.48,1.84,1.48,0.36,0
20200630,1.58,0,0.01,-0.39,-0.31,0
20200701,0.41,-1.71,-2.58,-0.42,-1.22,0.001
20200702,0.5,0.01,-0.13,0.41,0.15,0.001
20200706,1.65,-0.67,0.34,0.26,0.02,0.001
20200707,-1.03,-0.97,-1.5,-1.12,-0.07,0.001
20200708,0.91,0.07,-0.47,-0.43,-0.26,0.001
20200709,-0.53,-1.57,-2.6,-0.33,-0.55,0.001
20200710,1.11,0.67,3.07,0.87,0.18,0.001
20200713,-1.2,-0.28,2.04,1.09,1.09,0.001
20200714,1.35,0.38,-0.29,-0.03,0.51,0.001
20200715,1.14,2.7,1.25,0.19,0.08,0.001
20200716,-0.37,-0.15,0.8,0.27,0.33,0.001
20200717,0.3,-0.15,-1.42,-1.11,0.03,0.001
20200720,1.01,-1.11,-2.37,-0.85,-1.2,0.001
20200721,0.15,1.46,3.27,0.54,0.87,0.001
20200722,0.49,-0.64,-0.37,0.49,0,0.001
20200723,-1.2,1.22,1.97,-0.18,0.1,0.001
20200724,-0.75,-0.81,0.44,0.28,0.03,0.001
20200727,0.88,0.28,-1.99,-0.24,0.1,0.001
20200728,-0.81,-0.45,1,0.29,0.06,0.001
20200729,1.35,0.62,0.89,0.23,0.15,0.001
20200730,-0.29,0.01,-1.84,-0.53,-0.14,0.001
20200731,0.61,-1.84,-0.66,0.78,0.71,0.001
20200803,0.98,1.08,-0.84,-0.25,0.4,0
20200804,0.37,0.44,0.04,0.1,0.1,0
20200805,0.78,1.24,0.83,0.17,-0.11,0
20200806,0.53,-0.58,-0.83,0.6,0.06,0
20200807,0.02,1.58,2.4,0.54,0.14,0
20200810,0.24,1.33,1.73,0.83,1.28,0
20200811,-0.83,0.19,1.64,0.92,0.03,0
20200812,1.4,-0.85,-1.34,0.92,-0.16,0
20200813,-0.01,-0.14,-1.33,-0.63,-0.5,0
20200814,-0.04,0.06,1.08,0.44,0.2,0
20200817,0.45,0.04,-1.93,-0.81,-0.46,0
20200818,0.22,-1.32,-1.42,0.02,-0.54,0
20200819,-0.38,0.48,0.1,-0.03,-0.11,0
20200820,0.31,-0.96,-1.54,0.08,-0.45,0
20200821,0.26,-1.25,-0.43,0.6,0.72,0
20200824,0.92,0.2,2.6,1.14,0.58,0
20200825,0.36,-0.01,-0.65,-0.47,-0.69,0
20200826,1,-1.73,-1.74,-0.13,-0.85,0
20200827,0.18,-0.01,0.95,0.59,-0.53,0
20200828,0.7,0.37,-0.23,0.13,-0.08,0
20200831,-0.04,-0.93,-1.76,-0.71,-0.11,0
20200901,0.92,0.19,-0.3,0.6,0.13,0
20200902,1.27,-0.26,-0.45,0.76,-0.4,0
20200903,-3.7,0.44,2.6,-0.09,-0.15,0
20200904,-0.87,0.35,2.06,0.8,0.87,0
20200908,-2.91,0.92,-0.28,-0.72,-0.61,0
20200909,2.07,-0.61,-2,-0.17,-0.2,0
20200910,-1.64,0.38,-0.07,-0.39,-0.36,0
20200911,-0.06,-0.62,0.89,0.23,0.47,0
20200914,1.59,1.03,-0.8,-0.82,0,0
20200915,0.57,-0.63,-1.43,0.12,-0.35,0
20200916,-0.39,1.22,1.31,-0.94,0.27,0
20200917,-0.85,0.47,0.2,0.07,0.64,0
20200918,-0.88,0.78,-0.21,-1.12,-0.47,0
20200921,-1.08,-2.69,-1.88,-0.49,-0.28,0
20200922,1.02,-0.47,-1.63,0.58,-0.5,0
20200923,-2.48,-0.65,0.16,0.2,-0.18,0
20200924,0.25,-0.19,0.38,0.52,0.11,0
20200925,1.72,-0.16,-1.34,-0.51,-0.63,0
20200928,1.66,0.88,1.05,0.4,0.18,0
20200929,-0.42,0.41,-1.33,-0.79,-0.59,0
20200930,0.79,-0.69,0.15,0.34,0.12,0
20201001,0.79,0.79,-0.54,-0.02,-0.58,0
20201002,-0.96,1.68,2.44,0.57,0.34,0
20201005,1.93,0.88,-0.11,-0.47,0.12,0
20201006,-1.28,0.84,0.26,-0.51,-0.05,0
20201007,1.84,0.49,0.22,-0.28,0.13,0
20201008,0.8,0.28,0.99,0.22,0.25,0
20201009,0.93,-0.33,-1.41,-0.18,-0.29,0
20201012,1.53,-1.01,-0.09,0.79,0.34,0
20201013,-0.41,-0.18,-1.72,-0.88,-0.98,0
20201014,-0.65,0,0.03,0.36,0.67,0
20201015,-0.08,1.17,1.14,0.17,0.19,0
20201016,-0.06,-0.13,0.06,-0.04,-0.12,0
20201019,-1.53,0.35,0.3,-0.34,-0.24,0
20201020,0.34,-0.09,1.26,0.54,0.16,0
20201021,-0.36,-0.47,0.41,0.53,-0.01,0
20201022,0.67,0.95,1.03,-0.58,-0.09,0
20201023,0.38,0.38,0.04,-0.15,-0.35,0
20201026,-1.85,-0.48,-0.39,-0.14,-0.02,0
20201027,-0.23,-0.62,-2.33,-0.41,-0.73,0
20201028,-3.41,0.18,0.58,-0.46,0,0
20201029,1.13,0.16,0.27,0.32,0.6,0
20201030,-1.45,-0.24,1.86,0.25,-0.08,0
20201102,1.17,0.87,0.99,0.42,0.39,0
20201103,1.93,1,-0.2,-0.18,0.02,0
20201104,2.25,-2.56,-5,-0.72,-1.71,0
20201105,2.13,1.04,0.52,0.36,0.55,0
20201106,0.01,-1.09,-0.93,-0.23,-0.11,0
20201109,0.86,2.82,6.74,0.79,0.83,0
20201110,-0.17,2.09,2.16,0.32,1.28,0
20201111,0.88,-1.09,-1.75,-0.64,-0.18,0
20201112,-0.94,-0.56,-1.18,-0.67,-0.23,0
20201113,1.31,0.93,1.14,0.59,0.43,0
20201116,1.22,1.25,2,0.71,0.86,0
20201117,-0.19,0.6,0,-0.42,-0.42,0
20201118,-0.93,-0.05,0.02,0.07,-0.4,0
20201119,0.59,0.28,-0.76,-0.66,-0.19,0
20201120,-0.51,0.6,-0.61,-0.74,-0.1,0
20201123,0.83,1.4,1.57,0.34,0.05,0
20201124,1.56,0.51,2.76,0.53,0.52,0
20201125,0.03,-0.27,-1.33,-0.39,-0.53,0
20201127,0.43,0.15,-1.62,-0.77,-0.31,0
20201130,-0.53,-1.55,-2.07,-0.5,0.48,0
20201201,0.98,-0.08,0.54,1.06,0.49,0
20201202,0.11,0.21,1.07,0.38,0.6,0
20201203,0.18,0.55,-0.09,-0.29,0.19,0
20201204,1.02,1.59,0.84,-0.32,0.59,0
20201207,0.03,-0.06,-1.02,-0.56,-0.49,0
20201208,0.47,0.89,-0.71,-0.71,0,0
20201209,-1.03,0.31,1.28,0.85,0.28,0
20201210,0.24,0.93,-0.47,-1.52,-0.27,0
20201211,-0.2,-0.58,-0.71,-0.57,-0.55,0
20201214,-0.28,0.22,-1.52,-0.4,-0.8,0
20201215,1.28,1.14,0.36,0.44,0.55,0
20201216,0.17,-0.58,-0.38,0.03,-0.2,0
20201217,0.79,0.5,-0.71,-0.59,-0.21,0
20201218,-0.12,-0.19,-1.17,-0.4,-0.75,0
20201221,-0.23,0.23,-0.05,-1.02,0.32,0
20201222,0.06,0.84,-1.61,-0.84,-0.07,0
20201223,0.1,0.87,2.03,0.29,0.41,0
20201224,0.21,-0.44,-0.19,0.25,-0.08,0
20201228,0.46,-0.68,0.36,1.39,0.46,0
20201229,-0.4,-1.42,0.24,0.78,-0.29,0
20201230,0.27,1.06,0.03,-0.65,-0.05,0
20201231,0.39,-0.71,0.41,0.56,-0.24,0
20210104,-1.41,0.16,0.58,-0.64,0.1,0
20210105,0.86,1.31,0.48,0.36,0.55,0
20210106,0.79,3.15,3.93,0.06,0.53,0
20210107,1.76,0.02,-0.83,-1.5,-0.2,0
20210108,0.51,-1.01,-1.38,-0.43,-0.37,0
20210111,-0.51,0.54,1.26,-0.17,0.45,0
20210112,0.38,1.48,1.21,-0.45,0.42,0
20210113,0.07,-1.02,-0.45,-0.22,-0.05,0
20210114,-0.11,2.37,1.11,-1.01,0.43,0
20210115,-0.86,-0.73,-0.76,0.27,-0.47,0
20210119,0.92,0.75,-0.8,-0.69,0.09,0
20210120,1.26,-0.75,-1.08,0.63,-0.38,0
20210121,-0.04,-0.77,-0.94,0.84,0.38,0
20210122,-0.07,1.64,-0.12,-0.67,0.63,0
20210125,0.29,-0.28,-0.41,0.23,0.98,0
20210126,-0.32,-0.02,0.01,1.01,1.06,0
20210127,-2.53,1.19,1.55,0.59,2.46,0
20210128,0.92,-1.69,-0.91,-1.06,-2.26,0
20210129,-1.84,0.41,0.58,-0.75,0.38,0
20210201,1.73,0.74,-1.47,-0.23,-1.22,0
20210202,1.48,-0.79,-1.08,-1.02,-2.14,0
20210203,0.15,0.68,0.7,-0.12,0.16,0
20210204,1.23,0.6,0.37,-0.09,-0.22,0
20210205,0.58,0.94,-0.47,-0.73,0.41,0
20210208,0.96,2.25,0.39,-0.94,0.73,0
20210209,0.05,0.7,-0.17,-0.73,-0.49,0
20210210,-0.08,-0.44,0.64,0.19,-0.03,0
20210211,0.19,-0.35,-0.43,-0.3,-0.08,0
20210212,0.49,-0.13,0.49,-0.37,-0.05,0
20210216,-0.14,-0.24,1.88,0.15,0,0
20210217,-0.21,-0.68,0.61,0.29,-0.14,0
20210218,-0.63,-1.47,-0.19,0.91,-0.45,0
20210219,0.16,2.04,0.71,-0.44,0.55,0
20210222,-1.13,0.72,3.16,1.7,0.86,0
20210223,-0.15,-1.03,0.9,1.16,-0.21,0
20210224,1.15,1.49,1.41,-0.31,0.33,0
20210225,-2.74,-0.92,0.92,0.99,0.42,0
20210226,-0.28,0.34,-1.57,-0.05,-0.37,0
20210301,2.63,1.11,0.23,-0.41,0.23,0
20210302,-1.05,-0.77,1.24,0.62,0.2,0
20210303,-1.57,0.64,3.57,1.67,1.05,0
20210304,-1.7,-1.11,1.71,1.29,0.44,0
20210305,1.85,0.36,0.62,0.97,0.51,0
20210308,-0.67,1.47,3.7,1.63,0.88,0
20210309,1.79,0.45,-3.24,-1.87,-0.46,0
20210310,0.68,1.19,1.82,-0.07,0.14,0
20210311,1.44,1.08,-2.02,-1.42,-0.8,0
20210312,0.1,0.52,1.3,0.64,0.59,0
20210315,0.7,-0.33,-1.29,0.21,0.08,0
20210316,-0.43,-1.36,-0.83,0.31,-0.02,0
20210317,0.33,0.65,0.33,-0.05,0.15,0
20210318,-1.88,-1.21,2.18,0.96,0.45,0
20210319,0.25,0.93,-0.99,-0.8,-0.54,0
20210322,0.55,-1.7,-2.21,-0.25,-0.09,0
20210323,-1.17,-2.95,-1.04,0.58,-0.79,0
20210324,-1.01,-1.58,1.47,1.39,0.11,0
20210325,0.67,2.01,1.39,0.46,1.12,0
20210326,1.55,0.19,0.69,0.79,0.57,0
20210329,-0.49,-2.49,-0.23,0.91,-0.01,0
20210330,-0.02,1.83,1,-0.25,-0.2,0
20210331,0.63,0.59,-2.33,-1.2,-0.25,0
20210401,1.27,0.21,0,-0.68,-0.51,0
20210405,1.27,-0.7,-0.71,1,0.09,0
20210406,0.01,-0.32,0.1,-0.11,-0.28,0
20210407,-0.12,-1.54,0.32,0.7,-0.11,0
20210408,0.62,0.26,-1.16,-0.55,-0.38,0
20210409,0.65,-0.62,0.14,0.8,0.13,0
20210412,-0.05,-0.47,0.58,0.74,-0.34,0
20210413,0.41,-0.77,-1.61,-1.09,-0.37,0
20210414,-0.35,1.17,1.41,0.02,0.68,0
20210415,1.04,-0.79,-1.19,0.1,-0.53,0
20210416,0.27,-0.19,0.65,0.84,0.17,0
20210419,-0.73,-0.66,0.79,0.72,0.41,0
20210420,-0.94,-1.37,-1.56,0.38,-0.48,0
20210421,1.11,1.53,0.1,-0.46,0.1,0
20210422,-0.77,0.64,-0.76,-0.19,-0.21,0
20210423,1.26,0.76,0.7,-0.34,0.05,0
20210426,0.43,0.8,-0.5,-1.22,-0.05,0
20210427,-0.03,0.08,0.84,0.53,0.05,0
20210428,-0.06,0.29,0.19,-0.31,-0.33,0
20210429,0.39,-0.77,1.09,1.35,-0.24,0
20210430,-0.83,-0.51,-0.33,0.14,-0.43,0
20210503,0.17,0.72,1.7,1.1,1.07,0
20210504,-0.89,-0.25,2,1.1,0.58,0
20210505,-0.06,-0.16,1.34,0.66,0.62,0
20210506,0.48,-0.54,1.2,1.24,0.59,0
20210507,0.84,0.45,-0.09,-0.24,0.14,0
20210510,-1.36,-1.29,1.7,1.17,0.73,0
20210511,-0.63,0.7,-0.89,-0.83,-0.07,0
20210512,-2.34,-1.15,0.71,-0.27,0.13,0
20210513,1.02,0.47,1.14,1.4,0.36,0
20210514,1.81,0.96,-0.15,-0.25,-0.01,0
20210517,-0.24,0.73,0.83,0.01,0.56,0
20210518,-0.69,0.06,-0.94,-1.03,-0.43,0
20210519,-0.34,-0.52,-0.46,-0.18,-0.32,0
20210520,1.15,-0.49,-1.42,-0.85,-0.48,0
20210521,-0.04,0.46,0.98,-0.11,-0.07,0
20210524,0.99,-0.48,-0.69,0.25,-0.29,0
20210525,-0.3,-0.85,-1.23,0.21,-0.16,0
20210526,0.47,1.78,0.56,-0.54,0.14,0
20210527,0.28,1.08,0.94,-0.26,0.28,0
20210528,0.04,-0.37,-0.3,-0.19,-0.42,0
20210601,0.03,1.4,1.45,0.3,0.39,0
20210602,0.12,-0.21,0.31,-0.08,0.69,0
20210603,-0.53,-0.24,0.72,0.41,0.32,0
20210604,0.89,-0.6,-0.89,-0.13,-0.21,0
20210607,0.15,1.28,-0.96,-1.01,-0.19,0
20210608,0.19,1.08,-0.31,0.06,-0.06,0
20210609,-0.3,-0.45,-0.84,0.15,0.17,0
20210610,0.4,-1.33,-2.04,-0.56,-1.06,0
20210611,0.37,0.71,0.18,0.04,-0.02,0
20210614,0.15,-0.75,-1.61,-0.59,-0.48,0
20210615,-0.3,0.21,1.3,0.69,0.11,0
20210616,-0.45,0.43,0.2,-0.34,-0.25,0
20210617,0.01,-1.34,-3.57,-0.69,-1.09,0
20210618,-1.22,-0.8,-1.44,-0.44,-0.7,0
20210621,1.34,0.83,1.06,0.41,0.32,0
20210622,0.58,-0.1,-0.43,0.19,0.21,0
20210623,0.01,0.51,-0.29,-0.48,-0.22,0
20210624,0.69,0.74,0.23,-0.38,0.26,0
20210625,0.31,-0.5,0.43,-0.13,0.06,0
20210628,0.22,-0.85,-1.6,-0.51,-0.13,0
20210629,0,-0.4,-0.29,0.31,0.4,0
20210630,0.07,0.12,0.76,0.72,0.62,0
20210701,0.43,0.4,0.42,0.01,0.44,0
20210702,0.56,-1.52,-0.71,0.66,-0.16,0
20210706,-0.28,-1.04,-1.98,0.56,-0.7,0
20210707,0.09,-0.86,0.08,1.7,0.33,0
20210708,-0.86,0,-0.77,-0.22,-0.02,0
20210709,1.25,0.85,1.57,-0.18,0.35,0
20210712,0.23,-0.01,0.56,0.29,-0.28,0
20210713,-0.56,-1.23,-0.41,0.72,0.11,0
20210714,-0.26,-1.17,0.35,1.93,0.59,0
20210715,-0.38,-0.26,0.78,0.34,-0.06,0
20210716,-0.77,-0.4,-1.25,0.12,-0.82,0
20210719,-1.41,0.03,-1.74,-0.42,-1.13,0
20210720,1.69,0.85,0.16,-0.57,0.4,0
20210721,0.95,0.73,0.79,-0.98,0.05,0
20210722,0.09,-1.56,-1.01,0.5,-0.4,0
20210723,0.98,-0.34,-0.46,0.49,-0.33,0
20210726,0.18,0.1,1.33,0.28,0.88,0
20210727,-0.66,-0.47,0.6,0.45,0.13,0
20210728,0.27,1.21,-0.65,-1.56,-0.7,0
20210729,0.41,0.22,0.94,0.82,0.52,0
20210730,-0.65,-0.08,-0.17,0.56,0.4,0
20210802,-0.12,-0.12,-0.41,-0.06,-0.32,0
20210803,0.73,-0.41,0.92,0.64,0.2,0
20210804,-0.39,-0.95,-1.57,-0.37,-1.1,0
20210805,0.74,1.07,-0.11,-1.32,-0.42,0
20210806,0.09,0.46,1.9,0.58,0.36,0
20210809,0.01,-0.45,-0.27,-0.63,-0.55,0
20210810,0.06,0.38,1.82,0.71,0.92,0
20210811,0.19,0.31,1.41,0.89,0.51,0
20210812,0.24,-0.7,-0.4,0.06,0.1,0
20210813,0,-0.95,-0.25,0.7,-0.01,0
20210816,-0.05,-0.86,0.05,1.66,0.16,0
20210817,-0.8,-0.5,-0.11,-0.29,0.1,0
20210818,-0.95,0.12,-0.19,-0.31,-0.68,0
20210819,-0.15,-0.96,-0.81,1.39,-0.46,0
20210820,0.92,0.86,-0.48,-0.37,-0.28,0
20210823,1.08,0.76,-0.85,-1.84,-0.07,0
20210824,0.41,0.41,0.36,-0.72,0.06,0
20210825,0.26,0.06,0.36,-0.43,-0.02,0
20210826,-0.65,-0.44,-0.31,-0.05,-0.15,0
20210827,1.07,1.64,0.3,-0.71,0.14,0
20210830,0.35,-0.69,-1.37,0.67,0.14,0
20210831,-0.13,0.46,-0.05,-0.45,-0.22,0
20210901,0.11,0.4,-0.94,-0.43,-0.37,0
20210902,0.36,0.2,-0.04,-0.43,0.58,0
20210903,-0.01,-0.55,-0.25,0.04,-0.27,0
20210907,-0.36,-0.36,-0.09,-0.6,0.17,0
20210908,-0.34,-0.74,0.08,0.76,0.18,0
20210909,-0.27,0.26,0.09,-0.8,-0.31,0
20210910,-0.76,-0.03,0.02,0.22,-0.49,0
20210913,0.14,0.23,1.34,0.22,0.98,0
20210914,-0.66,-0.68,-0.96,0.43,-0.46,0
20210915,0.88,0.13,0.63,-0.25,0.47,0
20210916,-0.03,-0.09,-0.55,-0.4,-0.55,0
20210917,-0.72,0.98,-0.06,-0.64,-0.43,0
20210920,-1.87,-0.58,0.23,0.76,0.28,0
20210921,0.05,0.26,-0.67,-0.44,-0.32,0
20210922,1,0.15,0.53,-0.52,0.49,0
20210923,1.28,0.46,0.92,-1.01,0.2,0
20210924,0.08,-0.39,0.7,0.58,0.26,0
20210927,-0.1,1.71,2.43,-0.26,0.73,0
20210928,-2.18,0,1.76,0.85,1.07,0
20210929,0.03,-0.19,0.81,1.16,0.34,0
20210930,-1.02,0.08,-0.78,-1.23,-0.36,0
20211001,1.1,0.47,0.5,-0.1,0.61,0
20211004,-1.43,0.4,2.33,0.71,1.08,0
20211005,1.05,-0.57,-0.07,-0.07,-0.3,0
20211006,0.33,-0.99,-0.48,0.34,-0.67,0
20211007,1.01,0.45,-0.17,-0.08,0.06,0
20211008,-0.28,-0.45,1.12,0.1,0.62,0
20211011,-0.72,0.23,-0.28,-0.03,0.3,0
20211012,-0.06,0.56,-0.44,-0.89,-0.25,0
20211013,0.43,-0.08,-1.06,-0.48,-0.78,0
20211014,1.65,-0.38,-0.27,-0.01,-0.14,0
20211015,0.63,-1.13,0.3,0.37,-0.06,0
20211018,0.41,-0.41,-0.01,0.56,-0.05,0
20211019,0.71,-0.47,-0.22,-0.16,0.08,0
20211020,0.34,0.23,1.18,0.29,0.52,0
20211021,0.37,0.03,-0.95,0.32,-0.62,0
20211022,-0.25,0.01,1.01,0.44,0.52,0
20211025,0.58,0.37,-0.15,-0.42,-0.36,0
20211026,0.04,-0.78,-0.31,-0.36,-0.14,0
20211027,-0.76,-0.95,-1.18,0.85,-0.6,0
20211028,1.14,0.81,-0.49,-0.34,-0.17,0
20211029,0.22,0.13,-0.83,0.55,-0.79,0
20211101,0.51,2.05,0.44,-1.12,0.02,0
20211102,0.24,-0.33,-0.54,0.42,0.13,0
20211103,0.8,1.44,-0.13,0.21,-0.38,0
20211104,0.39,-0.28,-1.37,0.65,-0.73,0
20211105,0.38,0.78,1.2,0.01,1.29,0
20211108,0.18,0.02,0.06,-0.5,-0.09,0
20211109,-0.35,-0.14,0.45,0.58,0.3,0
20211110,-1.07,-0.31,0.93,1.37,-0.08,0
20211111,0.24,0.63,0.33,0.14,0.09,0
20211112,0.74,-0.46,-0.91,0.39,-0.31,0
20211115,-0.02,-0.47,0.7,0.57,0.47,0
20211116,0.5,-0.17,-0.71,0.18,-0.65,0
20211117,-0.47,-0.63,-0.25,0.81,0.16,0
20211118,0.06,-0.74,-0.07,1.26,-0.07,0
20211119,-0.2,-0.4,-1.28,1.04,-0.58,0
20211122,-0.61,0.05,2.76,1.25,1.62,0
20211123,-0.04,-0.2,1.74,0.24,1.14,0
20211124,0.3,-0.13,-0.87,-0.53,-0.22,0
20211126,-2.22,-1.28,-0.92,0.25,-0.61,0
20211129,1.11,-1.3,-0.78,0.38,-0.33,0
20211130,-1.95,0.16,-1.13,-0.11,0.43,0
20211201,-1.61,-0.48,1.11,2.3,0.76,0
20211202,1.51,1,1.26,-0.65,0.04,0
20211203,-1.21,-0.87,1.07,1.79,1.03,0
