Date,Mkt-RF,SMB,HML,RF
20220930,-1.42,0.5,0.27,0.009
20221003,2.55,-0.25,0.69,0.011
20221004,3.3,0.76,-0.06,0.011
20221005,-0.22,-0.36,0.08,0.011
20221006,-0.86,0.53,0.12,0.011
20221007,-2.91,-0.63,1.67,0.011
20221010,-0.81,0.05,0.77,0.011
20221011,-0.7,0.55,0.32,0.011
20221012,-0.27,0.09,0.01,0.011
20221013,2.4,-0.62,1.57,0.011
20221014,-2.46,-0.46,1.21,0.011
20221017,2.74,0.67,-1.42,0.011
20221018,1.19,-0.12,0,0.011
20221019,-0.87,-1.32,1.21,0.011
20221020,-0.8,-0.27,-0.43,0.011
20221021,2.3,-0.16,0.11,0.011
20221024,1.03,-0.74,0.45,0.011
20221025,1.78,1.35,-1.52,0.011
20221026,-0.66,0.42,0.89,0.011
20221027,-0.54,0.32,1.06,0.011
20221028,2.33,-0.04,-0.34,0.011
20221031,-0.67,0.39,0.75,0.011
20221101,-0.35,0.16,0.78,0.014
20221102,-2.67,-1.2,1.6,0.014
20221103,-1.03,0.3,0.31,0.014
20221104,1.16,-0.6,1.28,0.014
20221107,0.87,-0.48,0.61,0.014
20221108,0.5,-0.47,-0.38,0.014
20221109,-2.25,-0.62,0.55,0.014
20221110,5.68,1.66,-3.11,0.014
20221111,1.07,0.29,-1.08,0.014
20221114,-0.95,-0.39,0.26,0.014
20221115,1.03,0.74,-0.7,0.014
20221116,-1.03,-1.2,0.57,0.014
20221117,-0.42,-0.51,0.59,0.014
20221118,0.4,-0.18,0.07,0.014
20221121,-0.53,-0.35,0.99,0.014
20221122,1.35,-0.53,0.45,0.014
20221123,0.63,0.02,-0.94,0.014
20221125,-0.02,0.22,0.44,0.014
20221128,-1.55,-0.4,-0.2,0.014
20221129,-0.18,0.1,1.03,0.014
20221130,3.12,0.35,-2.07,0.014
20221201,-0.02,0.25,-0.69,0.016
20221202,-0.08,0.92,-0.55,0.016
20221205,-2.02,-0.59,-0.51,0.016
20221206,-1.51,-0.23,1.16,0.016
20221207,-0.24,-0.14,-0.33,0.016
20221208,0.77,0.2,-1.21,0.016
20221209,-0.8,-0.54,0.35,0.016
20221212,1.41,-0.32,-0.15,0.016
20221213,0.66,0.2,-0.74,0.016
20221214,-0.56,0.04,-0.43,0.016
20221215,-2.57,-0.38,1.38,0.016
20221216,-1.02,0.53,0.19,0.016
20221219,-1.01,-0.78,1.23,0.016
20221220,0.13,0.22,0.25,0.016
20221221,1.52,0.12,-0.14,0.016
20221222,-1.52,0.1,0.37,0.016
20221223,0.51,-0.6,1.15,0.016
20221227,-0.51,-0.73,1.42,0.016
20221228,-1.23,-0.25,-0.29,0.016
20221229,1.87,1.27,-1.07,0.016
20221230,-0.22,0.11,-0.03,0.016
