Date,Mkt-RF,SMB,HML,RF
20201026,-1.85,-0.28,-0.39,0
20201027,-0.23,-0.07,-2.33,0
20201028,-3.41,0.01,0.58,0
20201029,1.13,0.17,0.27,0
20201030,-1.45,-0.8,1.86,0
20201102,1.17,0.53,0.99,0
20201103,1.93,1,-0.2,0
20201104,2.25,-1.48,-5,0
20201105,2.13,1,0.52,0
20201106,0.01,-0.86,-0.93,0
20201109,0.86,0.8,6.74,0
20201110,-0.17,1.56,2.16,0
20201111,0.88,-0.56,-1.75,0
20201112,-0.94,-0.23,-1.18,0
20201113,1.31,0.61,1.14,0
20201116,1.22,0.78,2,0
20201117,-0.19,0.61,0,0
20201118,-0.93,-0.03,0.02,0
20201119,0.59,0.47,-0.76,0
20201120,-0.51,0.68,-0.61,0
20201123,0.83,0.87,1.57,0
20201124,1.56,-0.11,2.76,0
20201125,0.03,0,-1.33,0
20201127,0.43,0.47,-1.62,0
20201130,-0.53,-0.99,-2.07,0
20201201,0.98,-0.26,0.54,0
20201202,0.11,-0.09,1.07,0
20201203,0.18,0.5,-0.09,0
20201204,1.02,1.47,0.84,0
20201207,0.03,0.24,-1.02,0
20201208,0.47,1.02,-0.71,0
20201209,-1.03,-0.06,1.28,0
20201210,0.24,1.12,-0.47,0
20201211,-0.2,-0.38,-0.71,0
20201214,-0.28,0.58,-1.52,0
20201215,1.28,1.08,0.36,0
20201216,0.17,-0.43,-0.38,0
20201217,0.79,0.69,-0.71,0
20201218,-0.12,0.07,-1.17,0
20201221,-0.23,0.13,-0.05,0
20201222,0.06,1.21,-1.61,0
20201223,0.1,0.38,2.03,0
20201224,0.21,-0.41,-0.19,0
20201228,0.46,-0.73,0.36,0
20201229,-0.4,-1.53,0.24,0
20201230,0.27,1.01,0.03,0
20201231,0.39,-0.89,0.41,0
20210104,-1.41,0.22,0.58,0
20210105,0.86,1.23,0.48,0
20210106,0.79,2.14,3.93,0
20210107,1.76,0.33,-0.83,0
20210108,0.51,-0.75,-1.38,0
20210111,-0.51,0.26,1.26,0
20210112,0.38,1.29,1.21,0
20210113,0.07,-0.93,-0.45,0
20210114,-0.11,2.03,1.11,0
20210115,-0.86,-0.49,-0.76,0
20210119,0.92,0.88,-0.8,0
20210120,1.26,-0.39,-1.08,0
20210121,-0.04,-0.55,-0.94,0
20210122,-0.07,1.87,-0.12,0
20210125,0.29,-0.05,-0.41,0
20210126,-0.32,0.02,0.01,0
20210127,-2.53,1.33,1.55,0
20210128,0.92,-1.93,-0.91,0
20210129,-1.84,0.59,0.58,0
20210201,1.73,0.93,-1.47,0
20210202,1.48,-0.85,-1.08,0
20210203,0.15,0.43,0.7,0
20210204,1.23,0.38,0.37,0
20210205,0.58,1.07,-0.47,0
20210208,0.96,2.11,0.39,0
20210209,0.05,0.71,-0.17,0
20210210,-0.08,-0.47,0.64,0
20210211,0.19,-0.22,-0.43,0
20210212,0.49,-0.14,0.49,0
20210216,-0.14,-0.61,1.88,0
20210217,-0.21,-0.85,0.61,0
20210218,-0.63,-1.55,-0.19,0
20210219,0.16,1.78,0.71,0
20210222,-1.13,-0.06,3.16,0
20210223,-0.15,-1.27,0.9,0
20210224,1.15,1.21,1.41,0
20210225,-2.74,-1.14,0.92,0
20210226,-0.28,0.66,-1.57,0
20210301,2.63,1.09,0.23,0
20210302,-1.05,-1.09,1.24,0
20210303,-1.57,-0.19,3.57,0
20210304,-1.7,-1.36,1.71,0
20210305,1.85,0.21,0.62,0
20210308,-0.67,0.61,3.7,0
20210309,1.79,1.29,-3.24,0
20210310,0.68,0.77,1.82,0
20210311,1.44,1.6,-2.02,0
20210312,0.1,0.13,1.3,0
20210315,0.7,-0.11,-1.29,0
20210316,-0.43,-1.11,-0.83,0
20210317,0.33,0.47,0.33,0
20210318,-1.88,-1.75,2.18,0
20210319,0.25,1.26,-0.99,0
20210322,0.55,-1.2,-2.21,0
20210323,-1.17,-2.71,-1.04,0
20210324,-1.01,-1.97,1.47,0
20210325,0.67,1.68,1.39,0
20210326,1.55,0.18,0.69,0
20210329,-0.49,-2.4,-0.23,0
20210330,-0.02,1.54,1,0
20210331,0.63,1.11,-2.33,0
20210401,1.27,0.29,0,0
20210405,1.27,-0.59,-0.71,0
20210406,0.01,-0.32,0.1,0
20210407,-0.12,-1.61,0.32,0
20210408,0.62,0.59,-1.16,0
20210409,0.65,-0.64,0.14,0
20210412,-0.05,-0.62,0.58,0
20210413,0.41,-0.28,-1.61,0
20210414,-0.35,0.79,1.41,0
20210415,1.04,-0.44,-1.19,0
20210416,0.27,-0.36,0.65,0
20210419,-0.73,-0.77,0.79,0
20210420,-0.94,-1.18,-1.56,0
20210421,1.11,1.39,0.1,0
20210422,-0.77,0.65,-0.76,0
20210423,1.26,0.75,0.7,0
20210426,0.43,0.87,-0.5,0
20210427,-0.03,-0.16,0.84,0
20210428,-0.06,0.2,0.19,0
20210429,0.39,-1.14,1.09,0
20210430,-0.83,-0.43,-0.33,0
20210503,0.17,0.43,1.7,0
20210504,-0.89,-0.75,2,0
20210505,-0.06,-0.46,1.34,0
20210506,0.48,-0.83,1.2,0
20210507,0.84,0.43,-0.09,0
20210510,-1.36,-1.68,1.7,0
20210511,-0.63,0.96,-0.89,0
20210512,-2.34,-1.33,0.71,0
20210513,1.02,0.26,1.14,0
20210514,1.81,0.98,-0.15,0
20210517,-0.24,0.6,0.83,0
20210518,-0.69,0.26,-0.94,0
20210519,-0.34,-0.37,-0.46,0
20210520,1.15,-0.11,-1.42,0
20210521,-0.04,0.22,0.98,0
20210524,0.99,-0.37,-0.69,0
20210525,-0.3,-0.61,-1.23,0
20210526,0.47,1.77,0.56,0
20210527,0.28,0.8,0.94,0
20210528,0.04,-0.3,-0.3,0
20210601,0.03,1.11,1.45,0
20210602,0.12,-0.12,0.31,0
20210603,-0.53,-0.53,0.72,0
20210604,0.89,-0.36,-0.89,0
20210607,0.15,1.57,-0.96,0
20210608,0.19,1.15,-0.31,0
20210609,-0.3,-0.29,-0.84,0
20210610,0.4,-0.89,-2.04,0
20210611,0.37,0.67,0.18,0
20210614,0.15,-0.31,-1.61,0
20210615,-0.3,-0.03,1.3,0
20210616,-0.45,0.44,0.2,0
20210617,0.01,-0.49,-3.57,0
20210618,-1.22,-0.42,-1.44,0
20210621,1.34,0.59,1.06,0
20210622,0.58,0.04,-0.43,0
20210623,0.01,0.55,-0.29,0
20210624,0.69,0.65,0.23,0
20210625,0.31,-0.7,0.43,0
20210628,0.22,-0.49,-1.6,0
20210629,0,-0.25,-0.29,0
20210630,0.07,-0.12,0.76,0
20210701,0.43,0.37,0.42,0
20210702,0.56,-1.33,-0.71,0
20210706,-0.28,-0.65,-1.98,0
20210707,0.09,-0.92,0.08,0
20210708,-0.86,0.15,-0.77,0
20210709,1.25,0.61,1.57,0
20210712,0.23,-0.17,0.56,0
20210713,-0.56,-1.13,-0.41,0
20210714,-0.26,-1.16,0.35,0
20210715,-0.38,-0.35,0.78,0
20210716,-0.77,-0.23,-1.25,0
20210719,-1.41,0.31,-1.74,0
20210720,1.69,0.79,0.16,0
20210721,0.95,0.63,0.79,0
20210722,0.09,-1.34,-1.01,0
20210723,0.98,-0.1,-0.46,0
20210726,0.18,-0.09,1.33,0
20210727,-0.66,-0.66,0.6,0
20210728,0.27,1.41,-0.65,0
20210729,0.41,-0.01,0.94,0
20210730,-0.65,-0.07,-0.17,0
20210802,-0.12,-0.15,-0.41,0
20210803,0.73,-0.48,0.92,0
20210804,-0.39,-0.61,-1.57,0
20210805,0.74,1.14,-0.11,0
20210806,0.09,0.04,1.9,0
20210809,0.01,-0.35,-0.27,0
20210810,0.06,-0.01,1.82,0
20210811,0.19,-0.01,1.41,0
20210812,0.24,-0.59,-0.4,0
20210813,0,-0.85,-0.25,0
20210816,-0.05,-0.85,0.05,0
20210817,-0.8,-0.44,-0.11,0
20210818,-0.95,0.12,-0.19,0
20210819,-0.15,-0.8,-0.81,0
20210820,0.92,1,-0.48,0
20210823,1.08,0.93,-0.85,0
20210824,0.41,0.36,0.36,0
20210825,0.26,-0.04,0.36,0
20210826,-0.65,-0.4,-0.31,0
20210827,1.07,1.62,0.3,0
20210830,0.35,-0.35,-1.37,0
20210831,-0.13,0.44,-0.05,0
20210901,0.11,0.59,-0.94,0
20210902,0.36,0.11,-0.04,0
20210903,-0.01,-0.38,-0.25,0
20210907,-0.36,-0.14,-0.09,0
20210908,-0.34,-0.81,0.08,0
20210909,-0.27,0.23,0.09,0
20210910,-0.76,-0.1,0.02,0
20210913,0.14,-0.05,1.34,0
20210914,-0.66,-0.51,-0.96,0
20210915,0.88,0.02,0.63,0
20210916,-0.03,0.04,-0.55,0
